"id","pred1_total","pred2_total","pred3_total"
1001,3,1,0
1002,0,2,0
1003,0,4,0
1004,3,0,0
1005,21,1,0
1006,4,0,1
1007,0,0,0
1008,3,0,0
1009,0,0,0
1010,0,0,0
1011,0,0,0
1012,6,0,0
1013,0,0,0
1014,9,0,0
1015,12,2,0
1016,6,0,0
1017,0,0,0
1018,0,0,0
1019,6,1,3
1020,5,3,0
1021,0,0,0
1022,6,8,0
1023,39,3,2
1024,23,1,0
1025,8,0,0
1026,0,0,0
1027,0,0,0
1028,0,3,2
1029,2,0,0
1030,3,4,0
1031,0,0,0
1032,12,0,0
1033,4,2,2
1034,11,1,0
1035,0,0,0
1036,12,0,0
1037,1,4,9
1038,1,1,0
1039,12,1,1
1040,2,7,18
1041,0,0,0
1042,3,0,0
1043,10,0,2
1044,0,0,0
1045,11,1,0
1046,10,1,1
1047,0,0,0
1048,22,1,1
1049,1,2,4
1050,0,2,0
1051,2,1,0
1052,0,5,0
1053,0,0,0
1054,0,0,0
1055,18,11,2
1056,0,0,0
1057,1,1,0
1058,0,0,0
1059,0,1,0
1060,0,0,0
1061,0,0,0
1062,5,0,0
1063,0,0,2
1064,0,1,0
1065,0,0,0
1066,0,1,0
1067,0,1,0
1068,0,3,0
1069,0,2,11
1070,0,0,0
1071,0,3,2
1072,0,0,0
1073,0,0,0
1074,2,1,1
1075,3,0,0
1076,0,1,0
1077,23,0,3
1078,0,1,0
1079,0,2,0
1080,0,2,0
1081,0,2,0
1082,18,2,0
1083,0,0,0
1084,2,10,0
1085,4,0,3
1086,0,2,0
1087,0,3,0
1088,44,2,0
1089,39,1,0
1090,105,2,1
1091,0,1,0
1092,16,7,0
1093,67,0,0
1094,0,0,1
1095,0,0,3
1096,0,2,0
1097,2,7,0
1098,14,0,0
1099,1,1,2
1100,11,0,0
1101,10,0,3
1102,1,0,0
1103,0,0,0
1104,6,0,0
1105,1,1,0
1106,2,4,0
1107,0,0,0
1108,0,5,0
1109,8,4,0
1110,0,8,0
1111,7,0,0
1112,0,0,0
1113,11,1,0
1114,0,0,0
1115,0,0,11
1116,0,0,0
1117,0,2,0
1118,6,1,0
1119,4,1,0
1120,24,1,0
1121,11,4,2
1122,7,2,0
1123,1,1,0
1124,70,17,0
1125,0,4,0
1126,10,1,0
1127,0,0,0
1128,1,0,0
1129,14,0,0
1130,1,1,0
1131,0,4,0
1132,3,0,3
1133,0,1,0
1134,0,0,0
1135,1,0,0
1136,0,1,0
1137,1,1,0
1138,5,1,0
1139,18,0,7
1140,0,4,0
1141,0,2,0
1142,6,0,0
1143,2,7,0
1144,7,12,0
1145,11,2,1
1146,0,0,0
1147,100,1,0
1148,3,2,0
1149,1,5,0
1150,5,3,0
1151,1,1,0
1152,3,3,0
1153,6,2,0
1154,0,2,0
1155,1,1,0
1156,1,2,0
1157,1,1,0
1158,48,6,0
1159,1,1,0
1160,0,4,0
1161,5,0,0
1162,12,0,0
1163,1,1,0
1164,0,3,0
1165,22,3,0
1166,1,8,0
1167,0,1,0
1168,0,0,0
1169,0,4,0
1170,8,3,0
1171,0,0,0
1172,4,2,0
1173,6,3,0
1174,4,2,19
1175,12,2,0
1176,0,4,0
1177,5,1,0
1178,1,6,0
1179,52,3,0
1180,0,1,0
1181,34,3,2
1182,1,2,0
1183,0,2,0
1184,20,4,0
1185,1,3,0
1186,7,0,0
1187,0,6,0
1188,0,0,0
1189,0,0,0
1190,1,1,0
1191,11,1,3
1192,0,0,0
1193,14,3,311
1194,2,2,0
1195,1,4,0
1196,0,1,0
1197,0,2,0
1198,0,1,0
1199,1,7,0
1200,11,7,35
1201,2,8,0
1202,0,0,0
1203,35,4,11
1204,1,11,0
1205,8,2,0
1206,0,2,0
1207,0,0,0
1208,1,2,0
1209,1,0,0
1210,7,1,0
1211,0,1,4
1212,5,1,0
1213,6,8,0
1214,0,0,0
1215,1,3,0
1216,0,15,0
1217,0,0,0
1218,7,0,0
1219,2,5,1
1220,2,0,0
1221,0,0,0
1222,24,0,0
1223,0,2,0
1224,6,0,0
1225,0,0,0
1226,0,2,0
1227,5,1,0
1228,15,2,0
